"Timestamp","Qual a sua idade","Qual a sua profissão?","Sua profissão está diretamente ligada às plantas medicinais?","Você pesquisa sobre plantas medicinais para uso profissional ou pessoal?","Com que frequência você faz pesquisas sobre plantas medicinais?","Quanto tempo costuma levar com cada pesquisa?","Em quais meios você costuma buscar informações?","Quais informações você costuma pesquisar?","Quais são as principais dificuldades que você encontra quando faz a pesquisa?"
"2017/10/07 6:17:27 PM GMT-3","Entre 18 e 24 anos","estudante","Não","Apenas pessoal","Uma vez por semana","Menos de 15 minutos","Blogs sobre o tema","Posologia/receitas;Contraindicações","Encontrar informações confiáveis;Encontrar os sites e grupos para realizar as pesquisas"
"2017/10/07 6:43:22 PM GMT-3","Entre 18 e 24 anos","estudante","Não","Pessoal e profissional","Cerca de três vezes por semana","Entre 15 e 45 minutos","Grupos de discussão em redes sociais;Blogs sobre o tema;Sites especializados","Posologia/receitas;Contraindicações;Plantas tóxicas","Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes"
"2017/10/07 7:33:48 PM GMT-3","Entre 25 e 32 anos","estudante","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Menos de 15 minutos","Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações","Encontrar informações confiáveis;Pouca informação sobre as plantas"
"2017/10/07 7:36:23 PM GMT-3","Entre 18 e 24 anos","Estudante ","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Entre 15 e 45 minutos","Blogs sobre o tema","Identificação das plantas;Contraindicações","Identificar corretamente as plantas;Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes"
"2017/10/07 7:41:38 PM GMT-3","Entre 18 e 24 anos","Historiadora e professora.","Não","Apenas pessoal","Uma vez por semana","Mais de uma hora e meia","Grupos de discussão em redes sociais;Grupos de discussão por e-mail;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas","Identificar corretamente as plantas;Informações contraditórias em sites ou meios diferentes;Pouca informação sobre as plantas"
"2017/10/07 7:54:34 PM GMT-3","Entre 18 e 24 anos","Estudante","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Entre 15 e 45 minutos","Grupos de discussão em redes sociais;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Posologia/receitas;Contraindicações;Plantas tóxicas","Identificar corretamente as plantas;Informações contraditórias em sites ou meios diferentes;Pouca informação sobre as plantas"
"2017/10/07 7:58:33 PM GMT-3","Entre 18 e 24 anos","Suqueira","Não","Apenas pessoal","Cerca de três vezes por semana","Menos de 15 minutos","Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas;propriedades","Identificar corretamente as plantas;Encontrar informações confiáveis"
"2017/10/07 8:50:29 PM GMT-3","Menos de 18 anos","Estudante ","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Menos de 15 minutos","Grupos de discussão em redes sociais;Páginas de redes sociais","Identificação das plantas;Posologia/receitas;Contraindicações","Identificar corretamente as plantas;Informações contraditórias em sites ou meios diferentes;Pouca informação sobre as plantas"
"2017/10/07 8:57:46 PM GMT-3","Entre 41 e 55 anos","psicologa","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Menos de 15 minutos","Blogs sobre o tema;Sites especializados","Posologia/receitas","Identificar corretamente as plantas"
"2017/10/07 9:24:41 PM GMT-3","Menos de 18 anos","Estudante","Não","Apenas pessoal","Todos os dias","Entre 15 e 45 minutos","Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas","Encontrar informações confiáveis;Pouca informação sobre as plantas"
"2017/10/07 9:30:42 PM GMT-3","Menos de 18 anos","Estudante","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Entre 15 e 45 minutos","Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Posologia/receitas;Contraindicações","Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes"
"2017/10/07 9:33:40 PM GMT-3","Menos de 18 anos","estudante","Não","Apenas profissional","Esporadicamente ou de acordo com a necessidade","Entre 15 e 45 minutos","Grupos de discussão em redes sociais;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas","Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes"
"2017/10/07 9:38:40 PM GMT-3","Entre 25 e 32 anos","Nenhuma","Não","Pessoal e profissional","Esporadicamente ou de acordo com a necessidade","Entre 45 minutos e uma hora e meia","Grupos de discussão em redes sociais;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas","Encontrar informações confiáveis;Pouca informação sobre as plantas"
"2017/10/07 9:40:40 PM GMT-3","Entre 41 e 55 anos","Escultora","Não","Apenas pessoal","Cerca de três vezes por semana","Entre 15 e 45 minutos","Grupos de discussão em redes sociais;Páginas de redes sociais;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas","Identificar corretamente as plantas;Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes"
"2017/10/07 9:44:48 PM GMT-3","Entre 41 e 55 anos","Bancária","Não","Apenas pessoal","Todos os dias","Entre 15 e 45 minutos","Grupos de discussão em redes sociais;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas","Informações contraditórias em sites ou meios diferentes"
"2017/10/07 9:44:48 PM GMT-3","Entre 41 e 55 anos","Bancária","Não","Apenas pessoal","Todos os dias","Entre 15 e 45 minutos","Grupos de discussão em redes sociais;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas","Informações contraditórias em sites ou meios diferentes"
"2017/10/07 9:44:54 PM GMT-3","Entre 33 e 40 anos","Professora","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Mais de uma hora e meia","Grupos de discussão em redes sociais;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas;Indicações","Identificar corretamente as plantas;Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes"
"2017/10/07 9:45:35 PM GMT-3","Menos de 18 anos","Estudante ","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Menos de 15 minutos","Páginas de redes sociais","Identificação das plantas;Posologia/receitas","Encontrar informações confiáveis"
"2017/10/07 9:46:34 PM GMT-3","Entre 41 e 55 anos","autonoma","Não","Apenas pessoal","Cerca de três vezes por semana","Entre 45 minutos e uma hora e meia","Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas","Identificar corretamente as plantas;Informações contraditórias em sites ou meios diferentes"
"2017/10/07 9:47:43 PM GMT-3","Entre 25 e 32 anos","Estagiária","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Entre 15 e 45 minutos","Grupos de discussão em redes sociais;Grupos de discussão por e-mail;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Posologia/receitas","Informações contraditórias em sites ou meios diferentes"
"2017/10/07 9:48:24 PM GMT-3","Mais de 55 anos","educadora social","Não","Pessoal e profissional","Todos os dias","Entre 15 e 45 minutos","Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas;que parte da planta utilizar,  interação com outros medicamentos","Identificar corretamente as plantas;Pouca informação sobre as plantas"
"2017/10/07 9:48:31 PM GMT-3","Entre 18 e 24 anos","Erveiro","Sim","Pessoal e profissional","Esporadicamente ou de acordo com a necessidade","Mais de uma hora e meia","Grupos de discussão em redes sociais;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas","Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes"
"2017/10/07 10:02:26 PM GMT-3","Entre 41 e 55 anos","Fotógrafo, Livreiro, Pesquisador","Não","Pessoal e profissional","Todos os dias","Entre 15 e 45 minutos","Grupos de discussão em redes sociais;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas","Identificar corretamente as plantas;Encontrar informações confiáveis;Pouca informação sobre as plantas"
"2017/10/07 10:02:40 PM GMT-3","Entre 18 e 24 anos","Estudante","Sim","Pessoal e profissional","Esporadicamente ou de acordo com a necessidade","Menos de 15 minutos","Sites especializados","Identificação das plantas;Posologia/receitas","Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes"
"2017/10/07 10:28:29 PM GMT-3","Entre 25 e 32 anos","Antropóloga","Sim","Pessoal e profissional","Todos os dias","Entre 15 e 45 minutos","Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas","Identificar corretamente as plantas;Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes;Pouca informação sobre as plantas;Encontrar os sites e grupos para realizar as pesquisas"
"2017/10/07 10:37:29 PM GMT-3","Entre 25 e 32 anos","Estudante de farmácia","Sim","Pessoal e profissional","Esporadicamente ou de acordo com a necessidade","Entre 45 minutos e uma hora e meia","Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações","Identificar corretamente as plantas;Encontrar informações confiáveis;Pouca informação sobre as plantas"
"2017/10/07 10:46:42 PM GMT-3","Entre 33 e 40 anos","Vendedora e estudante","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Entre 15 e 45 minutos","Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas","Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes;Pouca informação sobre as plantas"
"2017/10/07 10:52:17 PM GMT-3","Entre 33 e 40 anos","ProfessorA","Sim","Pessoal e profissional","Todos os dias","Entre 15 e 45 minutos","Grupos de discussão em redes sociais;Páginas de redes sociais;Sites especializados","Identificação das plantas","Identificar corretamente as plantas;Pouca informação sobre as plantas"
"2017/10/07 10:53:17 PM GMT-3","Entre 18 e 24 anos","Estudante ","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Entre 15 e 45 minutos","Grupos de discussão em redes sociais;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações","Identificar corretamente as plantas;Informações contraditórias em sites ou meios diferentes"
"2017/10/07 10:56:50 PM GMT-3","Entre 25 e 32 anos","Psicologa","Não","Apenas pessoal","Todos os dias","Entre 15 e 45 minutos","Grupos de discussão em redes sociais;Páginas de redes sociais;Blogs sobre o tema","Identificação das plantas;Posologia/receitas;Contraindicações","Identificar corretamente as plantas;Encontrar informações confiáveis;Pouca informação sobre as plantas"
"2017/10/07 11:05:46 PM GMT-3","Entre 33 e 40 anos","administradora","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Mais de uma hora e meia","Sites especializados","Posologia/receitas","Identificar corretamente as plantas"
"2017/10/07 11:05:55 PM GMT-3","Entre 18 e 24 anos","Estudante","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Entre 45 minutos e uma hora e meia","Blogs sobre o tema;Sites especializados","Plantas tóxicas","Identificar corretamente as plantas;Encontrar informações confiáveis"
"2017/10/07 11:16:30 PM GMT-3","Entre 18 e 24 anos","estudante","Não","Apenas pessoal","Uma vez por semana","Entre 15 e 45 minutos","Grupos de discussão em redes sociais;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Posologia/receitas;Contraindicações","Identificar corretamente as plantas;Pouca informação sobre as plantas;Encontrar os sites e grupos para realizar as pesquisas"
"2017/10/07 11:20:27 PM GMT-3","Entre 25 e 32 anos","Chef de cozinha ","Sim","Pessoal e profissional","Esporadicamente ou de acordo com a necessidade","Entre 45 minutos e uma hora e meia","Grupos de discussão em redes sociais;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas","Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes;Pouca informação sobre as plantas"
"2017/10/07 11:45:28 PM GMT-3","Entre 25 e 32 anos","professora","Não","Apenas pessoal","Uma vez por semana","Menos de 15 minutos","Blogs sobre o tema;Sites especializados","Posologia/receitas","Encontrar os sites e grupos para realizar as pesquisas"
"2017/10/07 11:51:21 PM GMT-3","Entre 33 e 40 anos","Técnico Em Eletronica","Não","Apenas pessoal","Uma vez por semana","Entre 45 minutos e uma hora e meia","Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas","Encontrar informações confiáveis;Pouca informação sobre as plantas;Encontrar os sites e grupos para realizar as pesquisas"
"2017/10/08 12:53:40 AM GMT-3","Entre 33 e 40 anos","Jornalista","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Mais de uma hora e meia","Grupos de discussão em redes sociais;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações","Encontrar informações confiáveis;Pouca informação sobre as plantas"
"2017/10/08 1:27:18 AM GMT-3","Entre 41 e 55 anos","farmacêutico","Sim","Pessoal e profissional","Uma vez por semana","Menos de 15 minutos","Grupos de discussão em redes sociais;Páginas de redes sociais;Sites especializados","Identificação das plantas;Plantas tóxicas","Encontrar informações confiáveis"
"2017/10/08 1:46:49 AM GMT-3","Entre 18 e 24 anos","Nenhuma","Não","Pessoal e profissional","Todos os dias","Entre 15 e 45 minutos","Grupos de discussão em redes sociais;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas","Identificar corretamente as plantas"
"2017/10/08 3:24:32 AM GMT-3","Entre 18 e 24 anos","estudante","Não","Apenas pessoal","Uma vez por semana","Entre 45 minutos e uma hora e meia","Grupos de discussão em redes sociais;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações","Identificar corretamente as plantas;Encontrar informações confiáveis"
"2017/10/08 3:28:06 AM GMT-3","Entre 33 e 40 anos","Professor","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Entre 15 e 45 minutos","Grupos de discussão em redes sociais;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas","Identificar corretamente as plantas;Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes;Pouca informação sobre as plantas"
"2017/10/08 3:54:40 AM GMT-3","Mais de 55 anos","Professora","Não","Apenas pessoal","Cerca de três vezes por semana","Menos de 15 minutos","Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas","Encontrar informações confiáveis;Pouca informação sobre as plantas"
"2017/10/08 4:30:41 AM GMT-3","Entre 18 e 24 anos","estudante","Sim","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Entre 15 e 45 minutos","Grupos de discussão em redes sociais;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas;lugares onde são comuns, forma de cultivo","Identificar corretamente as plantas;Pouca informação sobre as plantas"
"2017/10/08 6:23:44 AM GMT-3","Entre 33 e 40 anos","Bióloga","Sim","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Entre 45 minutos e uma hora e meia","Grupos de discussão em redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas","Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes"
"2017/10/08 6:48:30 AM GMT-3","Entre 18 e 24 anos","Universitário ","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Entre 45 minutos e uma hora e meia","Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações","Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes;Pouca informação sobre as plantas"
"2017/10/08 7:04:40 AM GMT-3","Entre 25 e 32 anos","professora ","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Entre 15 e 45 minutos","Grupos de discussão em redes sociais;Grupos de discussão por e-mail;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas","Identificar corretamente as plantas;Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes;Pouca informação sobre as plantas;Encontrar os sites e grupos para realizar as pesquisas"
"2017/10/08 7:17:43 AM GMT-3","Entre 25 e 32 anos","diarista","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Entre 45 minutos e uma hora e meia","Sites especializados","Identificação das plantas","Encontrar informações confiáveis"
"2017/10/08 7:43:32 AM GMT-3","Entre 18 e 24 anos","Último semestre de Biologia. Quase Biólogo ","Sim","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Entre 15 e 45 minutos","Grupos de discussão em redes sociais;Blogs sobre o tema","Posologia/receitas","Identificar corretamente as plantas;Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes"
"2017/10/08 7:50:04 AM GMT-3","Entre 25 e 32 anos","Professor ","Sim","Pessoal e profissional","Cerca de três vezes por semana","Mais de uma hora e meia","Sites especializados","Identificação das plantas","Pouca informação sobre as plantas"
"2017/10/08 7:57:39 AM GMT-3","Entre 18 e 24 anos","Professora Magistério superior ","Sim","Pessoal e profissional","Todos os dias","Mais de uma hora e meia","Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas","Identificar corretamente as plantas;Encontrar informações confiáveis"
"2017/10/08 8:33:19 AM GMT-3","Entre 33 e 40 anos","Vendedora","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Menos de 15 minutos","Blogs sobre o tema","Identificação das plantas;Plantas tóxicas","Identificar corretamente as plantas"
"2017/10/08 8:37:14 AM GMT-3","Entre 41 e 55 anos","Professor ","Sim","Pessoal e profissional","Todos os dias","Entre 15 e 45 minutos","Grupos de discussão em redes sociais;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas;Forma cultivo","Identificar corretamente as plantas;Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes"
"2017/10/08 9:41:56 AM GMT-3","Entre 18 e 24 anos","estudante","Não","Pessoal e profissional","Cerca de três vezes por semana","Entre 15 e 45 minutos","Grupos de discussão em redes sociais;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações","Informações contraditórias em sites ou meios diferentes"
"2017/10/08 10:46:25 AM GMT-3","Entre 33 e 40 anos","GESTOR AMBIENTAL","Sim","Pessoal e profissional","Esporadicamente ou de acordo com a necessidade","Mais de uma hora e meia","Grupos de discussão em redes sociais;Grupos de discussão por e-mail;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas","Identificar corretamente as plantas;Encontrar informações confiáveis"
"2017/10/08 11:01:32 AM GMT-3","Entre 18 e 24 anos","Estudante","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Entre 45 minutos e uma hora e meia","Grupos de discussão em redes sociais;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas","Identificar corretamente as plantas;Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes;Pouca informação sobre as plantas"
"2017/10/08 11:18:03 AM GMT-3","Entre 18 e 24 anos","Estudante","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Menos de 15 minutos","Grupos de discussão em redes sociais;Sites especializados","Identificação das plantas;Posologia/receitas","Identificar corretamente as plantas;Encontrar informações confiáveis"
"2017/10/08 11:53:40 AM GMT-3","Entre 41 e 55 anos","Funcionária pública","Sim","Apenas profissional","Todos os dias","Entre 15 e 45 minutos","Grupos de discussão em redes sociais;Sites especializados","Identificação das plantas;como plantar","Encontrar os sites e grupos para realizar as pesquisas"
"2017/10/08 12:08:39 PM GMT-3","Entre 18 e 24 anos","Estudante","Sim","Pessoal e profissional","Uma vez por semana","Entre 45 minutos e uma hora e meia","Grupos de discussão em redes sociais;Páginas de redes sociais;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas","Identificar corretamente as plantas;Pouca informação sobre as plantas"
"2017/10/08 12:09:51 PM GMT-3","Entre 18 e 24 anos","Estudante","Sim","Pessoal e profissional","Esporadicamente ou de acordo com a necessidade","Entre 15 e 45 minutos","Blogs sobre o tema;Sites especializados","Posologia/receitas;Contraindicações","Identificar corretamente as plantas;Encontrar informações confiáveis;Pouca informação sobre as plantas"
"2017/10/08 12:15:20 PM GMT-3","Entre 25 e 32 anos","Estudante","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Menos de 15 minutos","Sites especializados","Posologia/receitas","Identificar corretamente as plantas;Encontrar informações confiáveis"
"2017/10/08 12:15:55 PM GMT-3","Entre 18 e 24 anos","Estudante","Sim","Pessoal e profissional","Esporadicamente ou de acordo com a necessidade","Entre 45 minutos e uma hora e meia","Grupos de discussão em redes sociais;Páginas de redes sociais;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas","Encontrar informações confiáveis;Pouca informação sobre as plantas"
"2017/10/08 12:29:48 PM GMT-3","Entre 18 e 24 anos","Estudante","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Entre 45 minutos e uma hora e meia","Grupos de discussão em redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas","Identificar corretamente as plantas;Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes"
"2017/10/08 12:34:47 PM GMT-3","Entre 18 e 24 anos","Estudante","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Entre 15 e 45 minutos","Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;efeitos a partir da abordagem da aromaterapia, ayurveda...","Identificar corretamente as plantas;Pouca informação sobre as plantas"
