"Timestamp","Qual a sua idade","Qual a sua profissão?","Sua profissão está diretamente ligada às plantas medicinais?","Você pesquisa sobre plantas medicinais para uso profissional ou pessoal?","Com que frequência você faz pesquisas sobre plantas medicinais?","Quanto tempo costuma levar com cada pesquisa?","Em quais meios você costuma buscar informações?","Quais informações você costuma pesquisar?","Quais são as principais dificuldades que você encontra quando faz a pesquisa?"
"2017/10/08 12:44:25 PM GMT-3","Entre 41 e 55 anos","aposentada","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Entre 15 e 45 minutos","Blogs sobre o tema;Sites especializados","Posologia/receitas","Identificar corretamente as plantas;Pouca informação sobre as plantas;Encontrar os sites e grupos para realizar as pesquisas"
"2017/10/08 12:53:02 PM GMT-3","Entre 18 e 24 anos","Estudante de Farmácia","Sim","Pessoal e profissional","Esporadicamente ou de acordo com a necessidade","Menos de 15 minutos","Sites especializados","Posologia/receitas","Identificar corretamente as plantas;Encontrar informações confiáveis"
"2017/10/08 12:53:07 PM GMT-3","Entre 18 e 24 anos","Autonoma","Sim","Pessoal e profissional","Todos os dias","Mais de uma hora e meia","Grupos de discussão em redes sociais;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas","Encontrar informações confiáveis;Pouca informação sobre as plantas"
"2017/10/08 1:26:56 PM GMT-3","Entre 18 e 24 anos","Estudante","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Entre 15 e 45 minutos","Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas","Identificar corretamente as plantas;Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes"
"2017/10/08 1:39:20 PM GMT-3","Entre 33 e 40 anos","autônoma ","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Entre 15 e 45 minutos","Sites especializados","Posologia/receitas","Encontrar os sites e grupos para realizar as pesquisas"
"2017/10/08 1:40:08 PM GMT-3","Entre 41 e 55 anos","EDUCADORA","Não","Apenas pessoal","Todos os dias","Entre 45 minutos e uma hora e meia","Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas;USOS MÁGICOS E RITUALÍSTICOS,  ETNOBOTANICA","Identificar corretamente as plantas;Encontrar informações confiáveis;Pouca informação sobre as plantas"
"2017/10/08 1:54:34 PM GMT-3","Entre 18 e 24 anos","estudante","Não","Pessoal e profissional","Uma vez por semana","Entre 15 e 45 minutos","Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Posologia/receitas;Contraindicações;Plantas tóxicas","Identificar corretamente as plantas;Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes"
"2017/10/08 2:53:43 PM GMT-3","Entre 25 e 32 anos","Estudante de naturologia","Sim","Pessoal e profissional","Cerca de três vezes por semana","Entre 15 e 45 minutos","Grupos de discussão em redes sociais;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações","Identificar corretamente as plantas;Encontrar informações confiáveis;Pouca informação sobre as plantas"
"2017/10/08 3:10:21 PM GMT-3","Mais de 55 anos","consultor","Sim","Pessoal e profissional","Cerca de três vezes por semana","Entre 15 e 45 minutos","Sites especializados","info específica","Identificar corretamente as plantas"
"2017/10/08 3:14:27 PM GMT-3","Entre 18 e 24 anos","estudante","Não","Pessoal e profissional","Todos os dias","Entre 15 e 45 minutos","Grupos de discussão em redes sociais;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Contraindicações;Plantas tóxicas","Identificar corretamente as plantas;Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes;Encontrar os sites e grupos para realizar as pesquisas"
"2017/10/08 3:23:49 PM GMT-3","Entre 41 e 55 anos","estudante","Sim","Pessoal e profissional","Uma vez por semana","Mais de uma hora e meia","Grupos de discussão em redes sociais;Páginas de redes sociais;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas","Identificar corretamente as plantas;Pouca informação sobre as plantas"
"2017/10/08 3:48:06 PM GMT-3","Entre 18 e 24 anos","Estudante","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Entre 15 e 45 minutos","Grupos de discussão em redes sociais;Páginas de redes sociais;Sites especializados","Identificação das plantas;Contraindicações;Usos","Identificar corretamente as plantas;Informações contraditórias em sites ou meios diferentes"
"2017/10/08 3:53:58 PM GMT-3","Menos de 18 anos","Farmacêutico ","Sim","Pessoal e profissional","Uma vez por semana","Entre 15 e 45 minutos","Grupos de discussão em redes sociais;Páginas de redes sociais;Blogs sobre o tema","Identificação das plantas;Contraindicações;Plantas tóxicas","Identificar corretamente as plantas;Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes;Pouca informação sobre as plantas;Encontrar os sites e grupos para realizar as pesquisas"
"2017/10/08 4:00:09 PM GMT-3","Entre 25 e 32 anos","Bióloga","Sim","Pessoal e profissional","Uma vez por semana","Entre 15 e 45 minutos","Grupos de discussão em redes sociais;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas","Identificar corretamente as plantas;Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes;Pouca informação sobre as plantas;Encontrar os sites e grupos para realizar as pesquisas"
"2017/10/08 4:32:46 PM GMT-3","Mais de 55 anos","professora","Não","Apenas pessoal","Uma vez por semana","Entre 45 minutos e uma hora e meia","Grupos de discussão em redes sociais;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas","Identificar corretamente as plantas;Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes;Pouca informação sobre as plantas;Encontrar os sites e grupos para realizar as pesquisas"
"2017/10/08 4:42:37 PM GMT-3","Entre 18 e 24 anos","estudante ","Sim","Pessoal e profissional","Esporadicamente ou de acordo com a necessidade","Menos de 15 minutos","Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas","Pouca informação sobre as plantas;Encontrar os sites e grupos para realizar as pesquisas"
"2017/10/08 5:10:28 PM GMT-3","Entre 33 e 40 anos","Enfermeira ","Sim","Pessoal e profissional","Cerca de três vezes por semana","Entre 15 e 45 minutos","Blogs sobre o tema;Sites especializados","Posologia/receitas;Contraindicações;Plantas tóxicas","Identificar corretamente as plantas;Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes;Pouca informação sobre as plantas"
"2017/10/08 5:46:36 PM GMT-3","Entre 18 e 24 anos","Estudante","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Entre 15 e 45 minutos","Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas","Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes"
"2017/10/08 5:48:23 PM GMT-3","Mais de 55 anos","terapeuta","Sim","Pessoal e profissional","Esporadicamente ou de acordo com a necessidade","Entre 45 minutos e uma hora e meia","Grupos de discussão em redes sociais;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;a identificacao dentro da visao chinesa a identificacao da parte sutil da planta a parte vibracional ligada aos 5 elementos identificacao da parte esotérica da planta. ","Identificar corretamente as plantas;Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes;Pouca informação sobre as plantas"
"2017/10/08 6:31:31 PM GMT-3","Entre 25 e 32 anos","Desempregada","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Menos de 15 minutos","Grupos de discussão em redes sociais;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas","Identificar corretamente as plantas;Encontrar informações confiáveis;Pouca informação sobre as plantas;Encontrar os sites e grupos para realizar as pesquisas"
"2017/10/08 7:21:41 PM GMT-3","Entre 18 e 24 anos","estudante de biologia","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Entre 15 e 45 minutos","Grupos de discussão em redes sociais;Páginas de redes sociais;Blogs sobre o tema","Posologia/receitas","Encontrar informações confiáveis;Pouca informação sobre as plantas"
"2017/10/08 7:26:23 PM GMT-3","Entre 25 e 32 anos","Economista","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Entre 15 e 45 minutos","Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas","Identificar corretamente as plantas;Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes"
"2017/10/08 9:54:09 PM GMT-3","Entre 25 e 32 anos","Técnico ambiental e estudante agronomia","Sim","Pessoal e profissional","Uma vez por semana","Entre 15 e 45 minutos","Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas;Metabólitos secundários, formas de cultivo","Encontrar informações confiáveis"
"2017/10/08 10:13:38 PM GMT-3","Entre 18 e 24 anos","Estudante","Sim","Pessoal e profissional","Esporadicamente ou de acordo com a necessidade","Entre 45 minutos e uma hora e meia","Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Posologia/receitas;Contraindicações","Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes;Pouca informação sobre as plantas"
"2017/10/08 10:51:53 PM GMT-3","Entre 18 e 24 anos","Graduanda em Farmácia","Sim","Pessoal e profissional","Todos os dias","Mais de uma hora e meia","Grupos de discussão em redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas","Identificar corretamente as plantas;Informações contraditórias em sites ou meios diferentes"
"2017/10/08 11:12:48 PM GMT-3","Entre 18 e 24 anos","estudante","Sim","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Entre 15 e 45 minutos","Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas","Identificar corretamente as plantas;Encontrar informações confiáveis;Pouca informação sobre as plantas"
"2017/10/08 11:49:14 PM GMT-3","Entre 18 e 24 anos","Auxiliar Administrativo","Não","Apenas pessoal","Todos os dias","Menos de 15 minutos","Grupos de discussão em redes sociais;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas","Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes;Pouca informação sobre as plantas"
"2017/10/09 4:01:25 AM GMT-3","Entre 18 e 24 anos"," estudante","Não","Apenas pessoal","Uma vez por semana","Entre 15 e 45 minutos","Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações","Encontrar informações confiáveis;Pouca informação sobre as plantas;Encontrar os sites e grupos para realizar as pesquisas"
"2017/10/09 7:18:59 AM GMT-3","Entre 25 e 32 anos","Estudante","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Entre 45 minutos e uma hora e meia","Sites especializados","Identificação das plantas","Identificar corretamente as plantas"
"2017/10/09 8:21:04 AM GMT-3","Entre 25 e 32 anos","Autônomo","Não","Pessoal e profissional","Todos os dias","Entre 15 e 45 minutos","Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas;enteogênicas","Identificar corretamente as plantas;Encontrar informações confiáveis"
"2017/10/09 8:39:27 AM GMT-3","Entre 25 e 32 anos","Técnico Agrícola","Sim","Pessoal e profissional","Cerca de três vezes por semana","Entre 15 e 45 minutos","Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas;informações científicas","Identificar corretamente as plantas;Encontrar informações confiáveis;Pouca informação sobre as plantas;Encontrar os sites e grupos para realizar as pesquisas"
"2017/10/09 9:16:57 AM GMT-3","Entre 18 e 24 anos","Estudante","Sim","Pessoal e profissional","Uma vez por semana","Entre 15 e 45 minutos","Grupos de discussão em redes sociais;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações","Identificar corretamente as plantas;Informações contraditórias em sites ou meios diferentes;Encontrar os sites e grupos para realizar as pesquisas"
"2017/10/09 12:56:00 PM GMT-3","Mais de 55 anos","Professora aposentada","Não","Apenas pessoal","Todos os dias","Mais de uma hora e meia","Páginas de redes sociais;Sites especializados","Identificação das plantas;Posologia/receitas","Identificar corretamente as plantas;Informações contraditórias em sites ou meios diferentes"
"2017/10/09 1:02:19 PM GMT-3","Entre 33 e 40 anos","Agente de relaciinamento","Não","Apenas pessoal","Cerca de três vezes por semana","Entre 15 e 45 minutos","Grupos de discussão em redes sociais;Páginas de redes sociais;Sites especializados","Identificação das plantas;Posologia/receitas;Beneficios, melhor modo de utilizar","Identificar corretamente as plantas;Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes;Pouca informação sobre as plantas;Encontrar os sites e grupos para realizar as pesquisas"
"2017/10/09 1:03:58 PM GMT-3","Entre 41 e 55 anos","Veterinário","Sim","Pessoal e profissional","Cerca de três vezes por semana","Menos de 15 minutos","Sites especializados","Identificação das plantas","Encontrar informações confiáveis"
"2017/10/09 1:11:57 PM GMT-3","Entre 41 e 55 anos","Administradora de empresas","Não","Apenas pessoal","Cerca de três vezes por semana","Entre 15 e 45 minutos","Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações","Identificar corretamente as plantas;Pouca informação sobre as plantas"
"2017/10/09 1:17:51 PM GMT-3","Entre 41 e 55 anos","Do lar","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Menos de 15 minutos","Páginas de redes sociais","Posologia/receitas","Encontrar informações confiáveis"
"2017/10/09 1:26:04 PM GMT-3","Entre 41 e 55 anos","Analsta de Suprimentos hospitalar","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Entre 15 e 45 minutos","Páginas de redes sociais;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas","Identificar corretamente as plantas;Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes;Pouca informação sobre as plantas"
"2017/10/09 1:56:13 PM GMT-3","Entre 18 e 24 anos","Agircultor Organico ","Sim","Apenas pessoal","Uma vez por semana","Entre 45 minutos e uma hora e meia","Grupos de discussão em redes sociais;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas","Identificar corretamente as plantas;Informações contraditórias em sites ou meios diferentes;Pouca informação sobre as plantas"
"2017/10/09 2:18:08 PM GMT-3","Entre 41 e 55 anos","Artesão","Não","Apenas pessoal","Cerca de três vezes por semana","Entre 45 minutos e uma hora e meia","Grupos de discussão em redes sociais;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas","Identificar corretamente as plantas;Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes"
"2017/10/09 3:15:29 PM GMT-3","Entre 18 e 24 anos","Estudante","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Menos de 15 minutos","Grupos de discussão em redes sociais;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas","Encontrar informações confiáveis;Pouca informação sobre as plantas"
"2017/10/09 3:49:26 PM GMT-3","Entre 41 e 55 anos","Agente Comunitário de Saúde","Sim","Pessoal e profissional","Esporadicamente ou de acordo com a necessidade","Entre 45 minutos e uma hora e meia","Blogs sobre o tema","Identificação das plantas","Identificar corretamente as plantas"
"2017/10/09 3:51:32 PM GMT-3","Entre 33 e 40 anos","Professora bioquimica","Sim","Pessoal e profissional","Todos os dias","Mais de uma hora e meia","Grupos de discussão em redes sociais;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas","Identificar corretamente as plantas;Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes"
"2017/10/09 5:03:19 PM GMT-3","Mais de 55 anos","Jardineira","Sim","Pessoal e profissional","Cerca de três vezes por semana","Entre 15 e 45 minutos","Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas","Informações contraditórias em sites ou meios diferentes"
"2017/10/09 6:01:17 PM GMT-3","Mais de 55 anos","Do lar","Sim","Apenas pessoal","Uma vez por semana","Entre 45 minutos e uma hora e meia","Sites especializados","Identificação das plantas","Encontrar informações confiáveis"
"2017/10/09 6:04:43 PM GMT-3","Mais de 55 anos","Auxiliar Farmácia  (Aposentada )","Sim","Apenas pessoal","Uma vez por semana","Entre 45 minutos e uma hora e meia","Sites especializados","Identificação das plantas","Identificar corretamente as plantas"
"2017/10/09 6:04:45 PM GMT-3","Mais de 55 anos","Auxiliar Farmácia  (Aposentada )","Sim","Apenas pessoal","Uma vez por semana","Entre 45 minutos e uma hora e meia","Sites especializados","Identificação das plantas","Identificar corretamente as plantas"
"2017/10/09 6:05:37 PM GMT-3","Entre 18 e 24 anos","ESTUDANTE","Não","Pessoal e profissional","Cerca de três vezes por semana","Entre 15 e 45 minutos","Grupos de discussão em redes sociais;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações","Identificar corretamente as plantas;Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes;Pouca informação sobre as plantas"
"2017/10/09 6:16:01 PM GMT-3","Entre 18 e 24 anos","Estudante","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Menos de 15 minutos","Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;modo de uso e evidências","Identificar corretamente as plantas;Encontrar informações confiáveis;Encontrar os sites e grupos para realizar as pesquisas"
"2017/10/09 6:38:47 PM GMT-3","Entre 41 e 55 anos","Protético odontológico ","Não","Apenas pessoal","Cerca de três vezes por semana","Entre 15 e 45 minutos","Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações","Encontrar informações confiáveis;Pouca informação sobre as plantas"
"2017/10/09 7:05:23 PM GMT-3","Entre 18 e 24 anos","Estudante","Não","Apenas pessoal","Cerca de três vezes por semana","Entre 15 e 45 minutos","Grupos de discussão em redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações","Identificar corretamente as plantas;Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes;Pouca informação sobre as plantas"
"2017/10/09 9:01:35 PM GMT-3","Mais de 55 anos","Enfermeira","Não","Apenas pessoal","Todos os dias","Entre 15 e 45 minutos","Sites especializados","Identificação das plantas;Plantas tóxicas","Identificar corretamente as plantas;Encontrar informações confiáveis"
"2017/10/09 9:09:20 PM GMT-3","Entre 25 e 32 anos","engenheira agronoma","Sim","Pessoal e profissional","Esporadicamente ou de acordo com a necessidade","Entre 15 e 45 minutos","Grupos de discussão em redes sociais;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas","Identificar corretamente as plantas;Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes;Pouca informação sobre as plantas;Encontrar os sites e grupos para realizar as pesquisas"
"2017/10/09 9:15:24 PM GMT-3","Entre 41 e 55 anos","Farmacêutica ","Sim","Pessoal e profissional","Cerca de três vezes por semana","Entre 15 e 45 minutos","Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas","Identificar corretamente as plantas;Encontrar informações confiáveis;Pouca informação sobre as plantas;Encontrar os sites e grupos para realizar as pesquisas"
"2017/10/09 9:15:24 PM GMT-3","Mais de 55 anos","Doméstica","Sim","Apenas pessoal","Todos os dias","Entre 15 e 45 minutos","Páginas de redes sociais","Posologia/receitas","Pouca informação sobre as plantas"
"2017/10/09 9:34:11 PM GMT-3","Entre 18 e 24 anos","Músico","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Entre 15 e 45 minutos","Blogs sobre o tema;Sites especializados","Posologia/receitas","Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes"
"2017/10/09 10:00:04 PM GMT-3","Entre 18 e 24 anos","Estudante","Não","Apenas pessoal","Uma vez por semana","Entre 15 e 45 minutos","Blogs sobre o tema;Sites especializados","Posologia/receitas;Contraindicações","Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes"
"2017/10/10 10:39:50 AM GMT-3","Entre 41 e 55 anos","Professor","Sim","Pessoal e profissional","Cerca de três vezes por semana","Entre 15 e 45 minutos","Sites especializados","Posologia/receitas;Contraindicações;Plantas tóxicas","Encontrar informações confiáveis"
"2017/10/10 1:12:56 PM GMT-3","Entre 25 e 32 anos","Gestora ambiental","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Entre 15 e 45 minutos","Grupos de discussão em redes sociais;Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas","Identificar corretamente as plantas;Encontrar informações confiáveis"
"2017/10/10 3:45:42 PM GMT-3","Entre 18 e 24 anos","Estudante","Sim","Apenas pessoal","Cerca de três vezes por semana","Menos de 15 minutos","Grupos de discussão em redes sociais;Blogs sobre o tema;Sites especializados","Posologia/receitas","Encontrar informações confiáveis"
"2017/10/10 6:50:41 PM GMT-3","Mais de 55 anos","DOMESTICA","Não","Apenas pessoal","Cerca de três vezes por semana","Menos de 15 minutos","Páginas de redes sociais","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas","Identificar corretamente as plantas;Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes;Pouca informação sobre as plantas"
"2017/10/11 10:08:43 AM GMT-3","Entre 33 e 40 anos","Psicóloga ","Não","Apenas pessoal","Esporadicamente ou de acordo com a necessidade","Entre 15 e 45 minutos","Páginas de redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas","Identificar corretamente as plantas;Encontrar informações confiáveis"
"2017/10/12 6:59:43 PM GMT-3","Mais de 55 anos","Professora","Não","Apenas pessoal","Uma vez por semana","Menos de 15 minutos","Páginas de redes sociais;Sites especializados","Identificação das plantas;Posologia/receitas","Identificar corretamente as plantas;Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes"
"2017/10/13 3:22:40 PM GMT-3","Entre 41 e 55 anos","Historiadora","Não","Apenas pessoal","Todos os dias","Mais de uma hora e meia","Grupos de discussão em redes sociais;Blogs sobre o tema;Sites especializados","Identificação das plantas;Posologia/receitas;Contraindicações;Plantas tóxicas;Pesquisas etnobotanicas","Encontrar informações confiáveis;Informações contraditórias em sites ou meios diferentes"